Smiles,pIC50
CC(=O)Nc1cc(-c2cncc(O)c2)nc(-n2nc(C)cc2C)n1,7.19
COC[C@H]1CCCN1c1cc(NC(C)=O)nc(-c2ccccn2)n1,7.34
CCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,6.7
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.66
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,7.24
COC[C@H]1CCCN1c1cc(NC(C)=O)nc(-c2ccccn2)n1,7.34
Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12,7.46
O=C(Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1)C1CC1,7.16
CCCOc1cc(NC(=O)CC)nc(SCCC)n1,7.15
Nc1nc(/N=N/c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.75
