Smiles,pIC50
CCOc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.82
COc1ccc(Nc2nc3c(Cl)ncnc3s2)cc1,5.45
C=CCCn1cnc2c(N)ncnc21,5.07
CC(C)C(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.42
Cc1ccc2c(O)cc(-c3ccc(F)cc3)nc2n1,6.36
Cc1ccc2c(O)cc(-c3ccc(F)cc3)nc2n1,6.2
Cc1ccc2c(O)cc(-c3ccc(F)cc3)nc2n1,6.2
CC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1,5.88
Nc1ncnc2c1ncn2Cc1ccccc1,5.07
Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1,6.3
Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1.Cl,6.17
Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1,6.17
CCCCn1cnc2c(N)ncnc21,5.11
O=C(NCc1ccccc1)c1cnc2nc(Br)ccc2c1O,5.45
Nc1ncnc2c1ncn2CCCO,5.41
COc1cccc2cc(C(=O)NCCO)c(=N)oc12,6.0
O=C(Nc1nc(C2CC2)cs1)c1cc2ccccc2s1,5.54
Fc1ccc(CNc2nc(-c3ccc(Cl)cc3)cc(C(F)(F)F)n2)cc1,6.34
Nc1nc(-c2ccccc2O)nc(N2Cc3ccc(F)cc3C2)n1,6.0
Cc1ccc2c(O)c(CC(=O)NC3CCCCC3)cnc2n1,5.15
CSc1cc(-c2ccccc2)nc2nc(C)ccc12,5.0
Cc1nc2c(N)nc(Nc3ccccc3)nc2s1,6.22
S/C(Cc1ccccc1)=N\N=C\c1ccccn1,7.0
COc1ccc(/C=N/N=C(\S)Cc2ccccc2)c(O)c1,7.0
Nc1nc(-c2ccccc2)nc(-c2ccccc2O)n1,7.37
CC(C)(C)CNC(=O)c1ccc(C(=O)Nc2nccs2)cc1,6.96
COC(=O)/C(C#N)=C/c1cccc(OC)c1O,6.5
